TERYT4;GENDER;AGE_GROUP;predicted_BRCA_cases
2604;K;<0-44>;9,019655279
605;K;<0-44>;2,629044295
1820;K;<0-44>;2,539374822
611;K;<0-44>;5,315967751
406;K;<0-44>;1,733328787
602;K;<0-44>;4,571369873
801;K;<0-44>;3,883276094
603;K;<0-44>;4,134368692
1423;K;<0-44>;1,895989411
2813;K;<0-44>;1,359692458
1429;K;<0-44>;2,401404552
1410;K;<0-44>;1,988706395
1411;K;<0-44>;2,386522882
1602;K;<0-44>;2,427115144
1611;K;<0-44>;3,627794402
206;K;<0-44>;3,061832736
3008;K;<0-44>;0
404;K;<0-44>;2,975596512
203;K;<0-44>;4,245172828
1419;K;<0-44>;5,18747174
1424;K;<0-44>;2,256650156
2606;K;<0-44>;2,134977106
1606;K;<0-44>;2,075014835
2802;K;<0-44>;1,611416603
2213;K;<0-44>;5,834163606
1422;K;<0-44>;2,301028396
805;K;<0-44>;2,661559314
2204;K;<0-44>;4,605020011
414;K;<0-44>;5,150020683
1821;K;<0-44>;0
606;K;<0-44>;2,8988219
224;K;<0-44>;3,311741573
202;K;<0-44>;5,094556236
806;K;<0-44>;3,31551674
1432;K;<0-44>;6,574269282
205;K;<0-44>;2,517569397
3204;K;<0-44>;3,990606062
2470;K;<0-44>;3,755675549
2468;K;<0-44>;4,657984275
1405;K;<0-44>;5,323412279
861;K;<0-44>;7,484448571
2465;K;<0-44>;3,624995963
662;K;<0-44>;3,814211145
264;K;<0-44>;43,86341023
2474;K;<0-44>;5,18456893
3064;K;<0-44>;40,22280455
3062;K;<0-44>;4,407537861
2604;K;<45-54>;19,23534818
605;K;<45-54>;4,760503077
1820;K;<45-54>;5,320398436
611;K;<45-54>;9,993272759
406;K;<45-54>;3,928061468
602;K;<45-54>;10,478434
801;K;<45-54>;6,297355022
603;K;<45-54>;7,986725372
1423;K;<45-54>;3,848899829
2813;K;<45-54>;2,972435315
1429;K;<45-54>;5,41460556
1410;K;<45-54>;3,306203369
1411;K;<45-54>;4,836007527
1602;K;<45-54>;4,773076622
1611;K;<45-54>;7,366444593
206;K;<45-54>;6,00246521
3008;K;<45-54>;6,779671397
404;K;<45-54>;4,816107309
203;K;<45-54>;8,07003486
1419;K;<45-54>;11,04624764
1424;K;<45-54>;6,009182309
2606;K;<45-54>;5,636427552
1606;K;<45-54>;4,053031015
2802;K;<45-54>;3,534163529
2213;K;<45-54>;12,23706739
1422;K;<45-54>;5,032409317
805;K;<45-54>;5,536811755
2204;K;<45-54>;10,75368353
414;K;<45-54>;9,330639012
1821;K;<45-54>;2,359308227
606;K;<45-54>;6,75456817
224;K;<45-54>;5,972066669
202;K;<45-54>;10,2871656
806;K;<45-54>;4,870587569
1432;K;<45-54>;11,72891429
205;K;<45-54>;6,297354523
3204;K;<45-54>;9,048134963
2470;K;<45-54>;8,116446175
2468;K;<45-54>;9,760842672
1405;K;<45-54>;9,556200569
861;K;<45-54>;14,83929867
2465;K;<45-54>;11,05740088
662;K;<45-54>;6,804988083
